,date_of_sighting,state,city,summary,drone_latitude,drone_longitude,drone_altitude_ft,Facility Name,Facility Type,Time,Time_UTC,index_right,airspace_name,min_altitude,max_altitude,alt_scaled
361,2022-04-17,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/2202C/CHICAGO TRACON ADVISED, B712, MSP - ORD, REPORTED A UAS WHILE E BOUND AT 1,700 FEET 2 W ORD. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC 7-3333 JO/HM",41.97693157926753,-87.95284047804321,1700,CHICAGO O'HARE INTL,AIRPORT,2202C,2022-04-18 04:02:00,30.0,CHICAGO CLASS B AREA A,3048.0,3048.0,1700
363,2022-04-19,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/0915C/CHICAGO ATCT ADVISED CITY COMMAND CENTER DETECTED UAS OPEARTING AT 50 FEET 1 S ORD. NO IMPACT TO OPERATIONS. NO ACFT REPORTED UAS. ORD COMMUNICATION CENTER NOTIFIED. WOC 7-3333 DJ/RC",41.96026650974951,-87.9081497222222,50,CHICAGO O'HARE INTL,AIRPORT,0915C,2022-04-19 15:15:00,30.0,CHICAGO CLASS B AREA A,3048.0,3048.0,50
525,2022-05-13,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1912C/CHICAGO TRACON ADVISED, B789, ORD - FRANKFURT, GERMANY (EDDF), REPORTED A WHITE UAS AT THE 2 O'CLOCK POSITION WHILE N BOUND AT 5,000 FEET 12 NE ORD. NO EVASIVE ACTIONS TAKEN. ATC CHANGED DEPARTURE HEADING TO DECONFLICT WITH THE UAS.  CHICAGO FBI NOTIFIED. WOC 7-3333 JO/GG",42.11826287480145,-87.71812221769088,5000,CHICAGO O'HARE INTL,AIRPORT,1912C,2022-05-14 01:12:00,32.0,CHICAGO CLASS B AREA C,3048.0,3048.0,5000
526,2022-05-13,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1915C/CHICAGO TRACON  ADVISED, B789, ORD - NEW DELHI, INDIA (VIDP), REPORTED A BLACK UAS AT THE 2 O'CLOCK POSITION WHILE N BOUND AT 2,500 FEET 7 NE ORD. NO EVASIVE ACTIONS TAKEN. ATC CHANGED DEPARTURE HEADING TO DECONFLICT WITH THE UAS.  CHICAGO FBI NOTIFIED. WOC 7-3333 JO/GG",42.059417128234415,-87.7974027327805,2500,CHICAGO O'HARE INTL,AIRPORT,1915C,2022-05-14 01:15:00,31.0,CHICAGO CLASS B AREA B,3048.0,3048.0,2500
601,2022-05-27,ILLINOIS,CHICAGO-PROSPECT HEIGHTS-WHEELING,"PRELIM INFO FROM FAA OPS: CHICAGO-PROSPECT HEIGHTS-WHEELING, IL/UAS INCIDENT/1835C/CHICAGO ARTCC ADVISED, A333, ORD - HELSINKI, FINLAND (EFHK), REPORTED WHITE UAS FROM THE 9 O'CLOCK POSITION WHILE N BOUND AT 13,500 FEET 16 NNE PWK. NO EVASIVE ACTION TAKEN. FBI NOTIFIED. WOC 7-3333 ER/RC",42.22332548521096,-87.77080009296851,13500,CHICAGO O'HARE INTL,AIRPORT,1835C,2022-05-28 00:35:00,33.0,CHICAGO CLASS B AREA D,3048.0,3048.0,6000
654,2022-06-04,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS INCIDENT/2026E/ATLANTA TRACON ADVISED, A321, ORD - ATL, REPORTED QUAD COPTER UAS 500 FEET ABOVE ACFT FROM THE 10 O'CLOCK POSITION WHILE SE BOUND AT 6,000 FEET 16 NW ATL. NO EVASIVE ACTION TAKEN. DOUGLAS COUNTY SHERIFF NOTIFIED. WOC 7-3333 ER/RC",42.165299535213904,-88.16170728761362,6000,CHICAGO O'HARE INTL,AIRPORT,2026E,2022-06-05 01:26:00,33.0,CHICAGO CLASS B AREA D,3048.0,3048.0,6000
807,2022-06-28,MASSACHUSETTS,BOSTON,"PRELIM INFO FROM FAA OPS: BOSTON, MA/UAS SIGHTING/1705E/BOSTON TRACON ADVISED, A320, BOS - ORD, REPORTED WHITE UAS WHILE E BOUND AT 5,000 FEET 5 E BOSTON. NO EVASIVE ACTION TAKEN. MASS STATE PD WERE NOTIFIED. WOC 7-3333 MK/EC",41.976885912115854,-87.79642288588279,5000,CHICAGO O'HARE INTL,AIRPORT,1705E,2022-06-28 22:05:00,30.0,CHICAGO CLASS B AREA A,3048.0,3048.0,5000
820,2022-06-30,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1641C/CHICAGO TRACON ADVISED, E75L, MSO - ORD, REPORTED A UAS FROM THE 2 O'CLOCK POSITION WHILE W BOUND AT 4,000 FEET 19 E CHICAGO. NO EVASIVE ACTION TAKEN.  NO ENFORCEMENT NOTIFICATION NOT REPORTED. WOC 7-3333 EF/EC",41.97615524391057,-87.48359097942308,4000,CHICAGO O'HARE INTL,AIRPORT,1641C,2022-06-30 22:41:00,33.0,CHICAGO CLASS B AREA D,3048.0,3048.0,4000
824,2021-07-01,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1105C/CHICAGO EXECUTIVE ATCT ADVISED , CESSNA C421, OBSERVED A UAS OFF THE LEFT SIDE AT 1,700 FEET 12 NW ORD. NO EVASIVE ACTION TAKEN. LAKE COUNTY SHERIFF NOTIFIED.",42.11826287480145,-88.09817722675353,1700,CHICAGO O'HARE INTL,AIRPORT,1105C,2021-07-01 17:05:00,32.0,CHICAGO CLASS B AREA C,3048.0,3048.0,1700
867,2021-07-05,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1650C/CHICAGO TRACON ADVISED , PIPER PA28, REPORTED A BLACK UAS FROM THE 11 O'CLOCK POSITION WHILE SSE BOUND AT 1,500 FEET 12 ENE ORD. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.",42.05324121505437,-87.66011989562584,1500,CHICAGO O'HARE INTL,AIRPORT,1650C,2021-07-05 22:50:00,32.0,CHICAGO CLASS B AREA C,3048.0,3048.0,1500
955,2021-07-18,CALIFORNIA,LOS ANGELES,"PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS INCIDENT/1330P/SOCAL TRACON ADVISED , B738, ORD - LAX, REPORTED A WHITE UAS AT 9 O'CLOCK POSITION AT 3,600 FEET WHILE WSW BOUND 14 ENE LAX. NO EVASIVE ACTION TAKEN. LAPD NOTIFIED.",42.06590577669905,-87.61872397145918,3600,CHICAGO O'HARE INTL,AIRPORT,1330P,2021-07-18 10:30:00,32.0,CHICAGO CLASS B AREA C,3048.0,3048.0,3600
984,2021-07-24,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1515C/CHICAGO TRACON ADVISED , CRJ7, MEM - ORD, REPORTED A UAS FROM THE 12 O'CLOCK POSITION WHILE NE BOUND AT 10,000 FEET 25 SW ORD. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.",41.68150455708313,-88.3013515594997,10000,CHICAGO O'HARE INTL,AIRPORT,1515C,2021-07-24 21:15:00,,,,,6000
1002,2021-07-28,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1821C/CHICAGO ATCT ADVISED , CRJ2, ORD - HPN, REPORTED UAS AT 1,200 FEET WHILE W BOUND 1 E ORD. EVASIVE ACTION NOT REPORTED. CHICAGO DEPARMENT OF AVIATION NOTIFIED (NO PHONE NUMBER PROVIDED).",41.97693810315007,-87.88580434279132,1200,CHICAGO O'HARE INTL,AIRPORT,1821C,2021-07-29 00:21:00,30.0,CHICAGO CLASS B AREA A,3048.0,3048.0,1200
1016,2021-07-31,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1222C/CHICAGO TRACON ADVISED , CRJ7, OKC - ORD, REPORTED A BLACK UAS WITH RED LIGHTS OFF RIGHT SIDE OF ACFT WHILE E BOUND AT 5,000 FEET 20 E ORD. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.",41.9760704349667,-87.46124617771437,5000,CHICAGO O'HARE INTL,AIRPORT,1222C,2021-07-31 18:22:00,33.0,CHICAGO CLASS B AREA D,3048.0,3048.0,5000
1059,2021-08-06,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/0913C/CHICAGO ARTCC ADVISED , E145, ORD - GRR, REPORTED A BLACK UAS WHILE E BOUND AT 17,000 FEET 40 ENE ORD. NO EVASIVE ACTION TAKEN. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.",42.229178729151904,-87.07908227062084,17000,CHICAGO O'HARE INTL,AIRPORT,0913C,2021-08-06 15:13:00,,,,,6000
1159,2021-08-21,VIRGINIA,NORFOLK,"PRELIM INFO FROM FAA OPS: NORFOLK, VA/UAS INCIDENT/1755E/NORFOLK ATCT ADVISED , E170, ORF - ORD, REPORTED A BLACK UAS AT 12 O'CLOCK POSITION AT 7,500 FEET WHILE NW BOUND 11 NW NORFOLK. NO EVASIVE ACTION TAKEN. NORFOLK PD NOTIFIED.",42.106498157237766,-88.08230939662936,7500,CHICAGO O'HARE INTL,AIRPORT,1755E,2021-08-21 22:55:00,32.0,CHICAGO CLASS B AREA C,3048.0,3048.0,6000
1271,2021-09-07,ILLINOIS,CHICAGO,"CORRECTION INFO (CALLSIGN) FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1153C/CHICAGO TRACON ADVISED , B739, EWR - ORD, REPORTED A YELLOW UAS 500 FEET ABOVE ACFT FROM THE 3 O'CLOCK POSITION WHILE WSW BOUND AT 4,000 FEET 22 E ORD. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.",41.975887770084995,-87.41655675976818,4000,CHICAGO O'HARE INTL,AIRPORT,1153C,2021-09-07 17:53:00,33.0,CHICAGO CLASS B AREA D,3048.0,3048.0,4000
1333,2021-09-19,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1236C/CHICAGO TRACON ADVISED , B748, FRANKFURT, GERMANY (EDDF) - ORD, REPORTED A UAS WHILE E BOUND AT 6,000 FEET 15 W ORD. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.",41.976450989154344,-88.24332871088517,6000,CHICAGO O'HARE INTL,AIRPORT,1236C,2021-09-19 18:36:00,35.0,CHICAGO CLASS B AREA F,3048.0,3048.0,6000
1357,2021-09-23,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1651C/CHICAGO TRACON ADVISED , CRJ2, SBN - ORD, REPORTED A WHITE UAS AT 9 O'CLOCK POSITION AT 3,100 FEET WHILE W BOUND 8 E ORD. NO EVASIVE ACTION TAKEN. CHICAGO FBI NOTIFIED.",41.97680110181268,-87.72938694219756,3100,CHICAGO O'HARE INTL,AIRPORT,1651C,2021-09-23 22:51:00,31.0,CHICAGO CLASS B AREA B,3048.0,3048.0,3100
1374,2021-09-25,ILLINOIS,CHICAGO,"CORRECTION INFO (EVENT TYPE) FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1823C/CHICAGO TRACON ADVISED , B738, PUERTO VALLARTA, MEXICO - ORD, REPORTED UAS AT 10,000 FEET WHILE E BOUND 5 S ORD. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",41.893570951705335,-87.9081497222222,10000,CHICAGO O'HARE INTL,AIRPORT,1823C,2021-09-26 00:23:00,30.0,CHICAGO CLASS B AREA A,3048.0,3048.0,6000
1381,2021-09-26,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1205C/CHICAGO TRACON ADVISED , E145, BMI - ORD, REPORTED A UAS FROM THE 10 O'CLOCK POSITION WHILE W BOUND AT 4,000 FEET 7 ESE ORD. NO EVASIVE ACTION TAKEN. CHICAGO FBI NOTIFIED.",41.93218388228955,-87.7637396616435,4000,CHICAGO O'HARE INTL,AIRPORT,1205C,2021-09-26 18:05:00,31.0,CHICAGO CLASS B AREA B,3048.0,3048.0,4000
1399,2021-09-28,FLORIDA,FORT MYERS,"PRELIM INFO FROM FAA OPS: FORT MYERS, FL/UAS INCIDENT/0815E/SOUTHWEST FLORIDA ATCT ADVISED , A319, RSW - ORD, REPORTED WHITE QUADCOPTER UAS WHILE N BOUND AT 7,000 FEET 15 N FORT MYERS. NO EVASIVE ACTION TAKEN. CHARLOTTE COUNTY SHERIFF NOTIFIED.",42.227040964813526,-87.9081497222222,7000,CHICAGO O'HARE INTL,AIRPORT,0815E,2021-09-28 13:15:00,32.0,CHICAGO CLASS B AREA C,3048.0,3048.0,6000
1684,2020-06-16,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1522C/CHICAGO TRACON ADVISED E145, GRB - ORD, REPORTED A BLACK UAS WHILE AT 9,000 FEET 10 NE ORD. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.",42.09473122209805,-87.74985201089314,9000,CHICAGO O'HARE INTL,AIRPORT,1522C,2020-06-16 21:22:00,31.0,CHICAGO CLASS B AREA B,3048.0,3048.0,6000
1698,2020-06-19,ILLINOIS,DWIGHT,"PRELIM INFO FROM FAA OPS: DWIGHT, IL/UAS INCIDENT/1206C/CHICAGO ARTCC ADVISED  OKC - ORD, REPORTED A UAS WHILE NE BOUND AT 11,000 FEET 3.9 SW DTG. NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION REPORTED.",41.930942114305715,-87.96972765136707,11000,CHICAGO O'HARE INTL,AIRPORT,1206C,2020-06-19 18:06:00,30.0,CHICAGO CLASS B AREA A,3048.0,3048.0,6000
1768,2022-01-01,TEXAS,HOUSTON,"PRELIM INFO FROM FAA OPS: HOUSTON, TX/UAS INCIDENT/0020C/HOUSTON ATCT ADVISED , CRJ7, ORD - IAH, REPORTED A UAS FROM BELOW ACFT AT THE 12 O'CLOCK POSITION WHILE W BOUND AT 600 FEET 4.5 ENE IAH. NO EVASIVE ACTION TAKEN. HOUSTON PD NOTIFIED.",42.005616039446835,-87.81520802581814,600,CHICAGO O'HARE INTL,AIRPORT,0020C,2022-01-01 06:20:00,30.0,CHICAGO CLASS B AREA A,3048.0,3048.0,600
1812,2022-01-20,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/0649C/ORD ATCT ADVISED , E145, CMI - ORD, REPORTED A DARK-COLORED UAS OFF THE RIGHT SIDE WHILE WEST BOUND DESCENDED THROUGH 2,500 FEET 7 E ORD. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.",41.97683372114139,-87.75173223648778,250,CHICAGO O'HARE INTL,AIRPORT,0649C,2022-01-20 12:49:00,31.0,CHICAGO CLASS B AREA B,3048.0,3048.0,250
1820,2022-01-22,CALIFORNIA,LOS ANGELES,"PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS INCIDENT/1432P/SOCAL TRACON ADVISED , B738, LAX - ORD, REPORTED A WHITE AND GRAY QUADCOPTER UAS PASS OVER RIGHT WING WHILE SSE BOUND AT 8,000 FEET 8 SW LAX. NO EVASIVE ACTION REPORTED. LAPD AIR SUPPORT NOTIFIED.",41.8825491178809,-88.03436805927774,8000,CHICAGO O'HARE INTL,AIRPORT,1432P,2022-01-22 11:32:00,31.0,CHICAGO CLASS B AREA B,3048.0,3048.0,6000
1874,2022-02-09,CALIFORNIA,LOS ANGELES,"PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS INCIDENT/1058P/LOS ANGELES ATCT ADVISED , B753, ORD - LAX, OBSERVED A GRAY QUAD-COPTER UAS AT THE 3 O'CLOCK POSITION WHILE WSW BOUND AT 2,300 FEET 8 ENE LAX. NO EVASIVE ACTION TAKEN. LOS ANGELES WORLD AIRPORTS PD NOTIFIED.",42.027867246564156,-87.74286237738946,2300,CHICAGO O'HARE INTL,AIRPORT,1058P,2022-02-09 07:58:00,31.0,CHICAGO CLASS B AREA B,3048.0,3048.0,2300
1915,2022-02-14,MASSACHUSETTS,BOSTON,"PRELIM INFO FROM FAA OPS: BOSTON, MA/UAS INCIDENT/1700E/BOSTON TRACON ADVISED , BCS1, ORD - BOS, REPORTED A METALLIC UAS AT 9 O'CLOCK POSITION AT 7,000 FEET WHILE ESE BOUND 3 NNW BOSTON. EVASIVE ACTION NOT REPORTED. MASSACHUSETTS STATE POLICE NOTIFIED. PHONE NUMBER NOT PROVIDED.",42.02315081367625,-87.9338219072158,7000,CHICAGO O'HARE INTL,AIRPORT,1700E,2022-02-14 22:00:00,30.0,CHICAGO CLASS B AREA A,3048.0,3048.0,6000
1987,2022-03-01,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: /UAS INCIDENT/1548E/CHICAGO TRACON ADVISED , CRJ7, ASE - ORD, OBSERVED A WHITE UAS AT THE 11 O'CLOCK POSITION WHILE EASTBOUND AT 3,000 FEET 7 W ORD. NO EVASIVE ACTION TAKEN. SCHAUMBURG PD NOTIFIED.",41.97683372114139,-88.06456720795663,3000,CHICAGO O'HARE INTL,AIRPORT,1548E,2022-03-01 20:48:00,31.0,CHICAGO CLASS B AREA B,3048.0,3048.0,3000
2031,2022-03-13,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1345C/CHICAGO TRACON ADVISED , E145, ALB - ORD, REPORTED GREEN UAS AT THE 11 O'CLOCK POSITION 300 FEET BELOW ACFT WHILE W BOUND DESCENDING FROM 3,800 FEET 11 E ORD. NO EVASIVE ACTION REPORTED. FBI NOTIFIED.",41.976677148576485,-87.66235121744377,300,CHICAGO O'HARE INTL,AIRPORT,1345C,2022-03-13 19:45:00,32.0,CHICAGO CLASS B AREA C,3048.0,3048.0,300
2032,2022-03-13,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1400C/CHICAGO TRACON ADVISED , B748, FRANKFURT, GERMANY (EDDF) - ORD, REPORTED GREEN UAS AT THE 11 O'CLOCK POSITION 300 FEET BELOW ACFT WHILE W BOUND DESCENDING FROM 3,800 FEET 11 E ORD. NO EVASIVE ACTION REPORTED. FBI NOTIFIED.",41.976677148576485,-87.66235121744377,300,CHICAGO O'HARE INTL,AIRPORT,1400C,2022-03-13 20:00:00,32.0,CHICAGO CLASS B AREA C,3048.0,3048.0,300
2137,2023-10-01,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1713C/CHICAGO ATCT ADVISED, B39M, SEA - ORD, REPORTED A BLACK QUADCOPTER UAS AT THE 12 O'CLOCK POSITION WHILE E BOUND AT 2,400 FEET 6 WNW ORD. NO EVASIVE ACTION TAKEN. O'HARE APRT PD NOTIFIED.",42.01515786464427,-88.03209052042114,2400,CHICAGO O'HARE INTL,AIRPORT,1713C,2023-10-01 23:13:00,31.0,CHICAGO CLASS B AREA B,3048.0,3048.0,2400
2331,2023-11-18,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1352C/CHICAGO TRACON ADVISED, E170, BWI - ORD, REPORTED A BLACK QUAD-COPTER UAS FROM THE 12 O'CLOCK POSITION WHILE W BOUND AT 5,000 FEET 11 E ORD. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.",41.976677148576485,-87.66235121744377,5000,CHICAGO O'HARE INTL,AIRPORT,1352C,2023-11-18 19:52:00,32.0,CHICAGO CLASS B AREA C,3048.0,3048.0,5000
2434,2023-12-27,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1342C/CHICAGO TRACON ADVISED, B78X, AMSTERDAM, NETHERLANDS (EHAM) - ORD, REPORTED AN UAS WHILE E BOUND AT 5,100 FEET 25 W ORD. NO EVASIVE ACTION REPORTED. FBI NOTIFIED.",41.97558115567894,-88.46677630231831,5100,CHICAGO O'HARE INTL,AIRPORT,1342C,2023-12-27 19:42:00,35.0,CHICAGO CLASS B AREA F,3048.0,3048.0,5100
2436,2023-12-27,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1737C/CHICAGO TRACON ADVISED, A319, GPI - ORD, REPORTED A YELLOW UAS FROM THE 12 O'CLOCK POSITION WHILE E BOUND AT 5,000 FEET 25 W ORD. NO EVASIVE MANEUVERS REPORTED. CHICAGO FBI NOTIFIED.",41.97558115567894,-88.46677630231831,5000,CHICAGO O'HARE INTL,AIRPORT,1737C,2023-12-27 23:37:00,35.0,CHICAGO CLASS B AREA F,3048.0,3048.0,5000
2505,2021-01-15,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS INCIDENT/1115E/ATLANTA APCH ADVISED , E75S, ORD - ATL, REPORTED A BLUE AND GREY UAS FROM THE 2 O'CLOCK POSITION WHILE S BOUND AT 5,000 FEET 12 ENE ATL. NO EVASIVE ACTION TAKEN. FULTON COUNTY PD NOTIFIED.",42.05324121505437,-87.66011989562584,5000,CHICAGO O'HARE INTL,AIRPORT,1115E,2021-01-15 16:15:00,32.0,CHICAGO CLASS B AREA C,3048.0,3048.0,5000
2707,2021-03-07,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1610C/CHICAGO TRACON ADVISED , CRJ7, REPORTED A UAS FROM THE 3 O'CLOCK POSITION WHILE W BOUND AT 6,500 FEET 20 E ORD. EVASIVE NOT REPORTED. CHICAGO FBI WAS NOTIFIED.",41.9760704349667,-87.46124617771437,6500,CHICAGO O'HARE INTL,AIRPORT,1610C,2021-03-07 22:10:00,33.0,CHICAGO CLASS B AREA D,3048.0,3048.0,6000
2839,2021-03-30,FLORIDA,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS INCIDENT/1235E/ORLANDO ATCT ADVISED , B739, ORD - MCO, REPORTED A BLACK AND WHITE UAS OFF THE LEFT SIDE WHILE ON FINAL RUNWAY 18R AT 2,000 FEET 6 N MCO. NO EVASIVE ACTION TAKEN. ORANGE COUNTY SHERIFF AVIATION NOTIFIED.",42.07698186527615,-87.9081497222222,2000,CHICAGO O'HARE INTL,AIRPORT,1235E,2021-03-30 17:35:00,32.0,CHICAGO CLASS B AREA C,3048.0,3048.0,2000
